City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Cap Malheureux,MU,-19.9842,57.6142,80.47,67,80,1.01,broken clouds
163,Beloha,MG,-25.1667,45.05,75.61,70,34,15.84,scattered clouds
164,Husavik,IS,66.0449,-17.3389,28.31,89,100,20.51,light snow
165,New Norfolk,AU,-42.7826,147.0587,56.7,66,97,0.51,overcast clouds
166,Northampton,US,40.8754,-75.2499,30.04,67,100,3.0,snow
167,Dukat,RU,62.55,155.55,-5.96,100,96,4.21,overcast clouds
168,Ndele,CF,8.4109,20.6473,88.23,18,72,6.31,broken clouds
169,Hachinohe,JP,40.5,141.5,30.81,80,83,9.8,broken clouds
170,Esperance,AU,-33.8667,121.9,64.24,81,99,14.16,overcast clouds
171,Trelew,AR,-43.249,-65.3051,84.22,22,99,29.95,overcast clouds
172,Shimoda,JP,34.6667,138.95,43.11,61,0,26.93,clear sky
173,Lakes Entrance,AU,-37.8811,147.981,61.57,88,17,1.41,few clouds
174,La Palma,US,33.8464,-118.0467,58.5,78,1,0.0,clear sky
175,Bethel,US,41.3712,-73.414,30.04,57,1,1.01,light snow
176,East London,ZA,-33.0153,27.9116,74.34,83,75,16.11,broken clouds
177,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,25.32,light snow
178,Sept-Iles,CA,50.2001,-66.3821,2.05,66,20,5.01,few clouds
179,Solnechnyy,RU,50.7214,136.6319,-17.95,97,72,2.73,broken clouds
180,Elk City,US,35.412,-99.4043,31.98,69,1,0.0,clear sky
181,Sao Filipe,CV,14.8961,-24.4956,76.03,58,100,6.91,overcast clouds
182,Schwandorf,DE,49.3262,12.1093,47.98,82,100,9.31,overcast clouds
183,Langarud,IR,37.197,50.1535,48.25,87,100,5.3,overcast clouds
184,Kantyshevo,RU,43.2264,44.6381,29.86,86,75,8.95,broken clouds
185,Nicoya,CR,10.1483,-85.452,81.95,53,99,13.13,overcast clouds
186,Pangnirtung,CA,66.1451,-65.7125,19.4,73,75,10.36,broken clouds
187,Narsaq,GL,60.9167,-46.05,44.82,84,100,10.02,light rain
188,Ribeira Grande,PT,38.5167,-28.7,61.2,51,20,14.97,few clouds
189,Katobu,ID,-4.9408,122.5276,75.83,90,100,0.63,heavy intensity rain
190,Port Hedland,AU,-20.3167,118.5667,84.25,79,63,11.5,broken clouds
191,Nikolskoye,RU,59.7035,30.7861,21.4,95,99,6.15,overcast clouds
192,Moron,AR,-34.6534,-58.6198,98.02,55,1,1.99,clear sky
193,Casas Grandes,MX,30.3667,-107.95,39.76,32,27,2.71,scattered clouds
194,Yar-Sale,RU,66.8333,70.8333,-6.0,98,100,17.63,light snow
195,Prata,BR,-19.3072,-48.9242,81.01,63,60,9.08,broken clouds
196,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,83,0,6.91,clear sky
197,Vilyuysk,RU,63.7553,121.6247,-49.61,100,81,1.03,broken clouds
198,Pulsano,IT,40.3821,17.3564,59.22,71,40,1.01,scattered clouds
199,Port Lincoln,AU,-34.7333,135.8667,58.6,75,1,12.97,clear sky
200,Dumas,US,35.8656,-101.9732,26.74,68,1,11.5,clear sky
201,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,83,75,13.8,broken clouds
202,Namibe,AO,-15.1961,12.1522,79.43,61,0,17.27,clear sky
203,Washougal,US,45.5826,-122.3534,42.76,95,90,4.61,light rain
204,Vanderhoof,CA,54.0166,-124.0198,-12.42,97,100,9.19,snow
205,Simao,CN,22.7886,100.9748,52.45,97,83,2.08,broken clouds
206,Bengkulu,ID,-3.8004,102.2655,75.7,89,95,3.83,overcast clouds
207,Vao,NC,-22.6667,167.4833,78.49,82,100,18.84,overcast clouds
208,Livramento,BR,-3.0254,-60.1803,86.67,70,75,6.91,broken clouds
209,Garden City,US,42.3256,-83.331,24.82,78,20,0.0,few clouds
210,Fort Saint James,CA,54.4333,-124.25,-11.0,98,100,6.08,snow
211,Sola,VU,-13.8833,167.55,79.45,84,100,9.48,overcast clouds
212,Dicabisagan,PH,17.0818,122.4157,71.96,76,83,5.57,broken clouds
213,Srisailam,IN,16.0833,78.8667,65.66,77,8,3.76,clear sky
214,Thinadhoo,MV,0.5333,72.9333,81.48,74,3,1.99,clear sky
215,Pundaguitan,PH,6.3711,126.1689,78.82,82,96,12.35,overcast clouds
216,Port Elizabeth,ZA,-33.918,25.5701,78.1,73,40,11.5,scattered clouds
217,Mago,RU,53.2514,140.1822,-28.79,99,43,1.21,scattered clouds
218,Luderitz,NA,-26.6481,15.1594,69.28,65,0,24.9,clear sky
219,Camabatela,AO,-8.1881,15.375,66.38,95,100,3.09,light rain
220,Surt,LY,31.2089,16.5887,62.06,70,41,9.6,scattered clouds
221,Iqaluit,CA,63.7506,-68.5145,8.33,78,90,18.01,snow
222,Kitimat,CA,54.0524,-128.6534,19.78,90,100,6.38,overcast clouds
223,Vinh,VN,18.6667,105.6667,66.22,88,100,2.95,overcast clouds
224,Sur,OM,22.5667,59.5289,77.74,69,74,14.67,broken clouds
225,Muisne,EC,0.6,-80.0333,80.71,84,100,10.54,overcast clouds
226,Ennis,IE,52.8436,-8.9864,49.93,76,75,24.16,broken clouds
227,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,70,75,3.44,broken clouds
228,Gurmatkal,IN,16.8667,77.4,70.54,46,35,6.49,scattered clouds
229,Taybad,IR,34.74,60.7756,52.09,65,100,5.26,overcast clouds
230,Vila Velha,BR,-20.3297,-40.2925,87.75,69,75,14.0,broken clouds
231,Pasni,PK,25.2631,63.471,73.67,69,69,13.96,broken clouds
232,Concordia,AR,-31.393,-58.0209,93.27,52,0,8.05,clear sky
233,Roma,US,43.2128,-75.4557,17.08,53,96,5.66,overcast clouds
234,Wuhan,CN,30.5833,114.2667,51.89,42,100,4.99,overcast clouds
235,Aitape,PG,-3.1374,142.3475,78.01,88,91,8.59,overcast clouds
236,Viedma,AR,-40.8135,-62.9967,84.72,24,51,24.61,broken clouds
237,Lorengau,PG,-2.0226,147.2712,81.95,76,100,12.84,overcast clouds
238,Pouebo,NC,-20.4,164.5667,78.19,87,30,3.83,scattered clouds
239,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,22,98,33.38,dust
240,San Juan Bautista,PE,-14.0108,-75.7358,65.17,43,61,8.19,broken clouds
241,Lucapa,AO,-8.4192,20.7447,72.59,90,100,3.31,moderate rain
242,Kalmunai,LK,7.4167,81.8167,76.15,89,29,8.75,scattered clouds
243,Skibbereen,IE,51.55,-9.2667,49.8,83,92,24.43,overcast clouds
244,Pudozh,RU,61.8099,36.5345,-14.01,100,98,2.57,overcast clouds
245,Jacmel,HT,18.2342,-72.5347,84.04,53,6,4.59,clear sky
246,Karabulak,RU,43.3036,44.8964,31.19,71,100,4.27,overcast clouds
247,Chuy,UY,-33.6971,-53.4616,91.74,40,0,8.86,clear sky
248,Durazno,UY,-33.4131,-56.5006,93.15,40,0,5.75,clear sky
249,Yulara,AU,-25.2406,130.9889,93.04,18,35,14.97,scattered clouds
250,Puntarenas,CR,9.9763,-84.8384,89.53,58,100,5.03,overcast clouds
251,Georgetown,MY,5.4112,100.3354,82.33,78,20,5.99,few clouds
252,Rawson,AR,-43.3002,-65.1023,81.54,27,97,29.28,overcast clouds
253,Pafos,CY,34.7667,32.4167,60.71,55,20,10.36,few clouds
254,Esperanza,DO,19.5847,-70.9849,81.09,63,1,5.99,clear sky
255,Saint Anthony,US,45.0205,-93.218,15.49,79,1,1.99,clear sky
256,San Patricio,US,28.017,-97.5169,45.93,37,0,5.03,clear sky
257,Santa Rosa,PH,14.3122,121.1114,78.78,72,98,13.76,overcast clouds
258,Riyadh,SA,24.6877,46.7219,57.34,44,1,9.57,clear sky
259,Coquimbo,CL,-29.9533,-71.3436,67.73,72,20,13.8,few clouds
260,Saint-Philippe,RE,-21.3585,55.7679,82.22,77,77,9.1,broken clouds
261,Castro,BR,-24.7911,-50.0119,82.81,43,21,8.37,few clouds
262,Betioky,MG,-23.7167,44.3833,88.75,28,0,15.66,clear sky
263,Rundu,NA,-17.9333,19.7667,84.51,41,59,6.33,light rain
264,Teacapan,MX,22.55,-105.75,71.6,60,4,7.43,clear sky
265,Ixtapa,MX,20.7,-105.2,65.43,88,1,3.44,clear sky
266,Gamba,GA,-2.65,10.0,80.69,77,35,7.74,scattered clouds
267,Homer,US,59.6425,-151.5483,8.47,47,1,10.36,clear sky
268,Kisangani,CD,0.5167,25.2,75.56,88,75,3.44,broken clouds
269,Rach Gia,VN,10.0167,105.0833,75.15,82,86,7.4,overcast clouds
270,Ravar,IR,31.2656,56.8055,54.79,48,7,7.23,clear sky
271,Geraldton,AU,-28.7667,114.6,70.21,88,75,10.36,broken clouds
272,Severo-Kurilsk,RU,50.6789,156.125,27.68,70,88,20.15,overcast clouds
273,Tura,IN,25.5198,90.2201,57.7,66,0,2.51,clear sky
274,Waipawa,NZ,-41.4122,175.5153,61.45,83,97,3.6,overcast clouds
275,Male,MV,4.1748,73.5089,84.15,79,75,20.71,broken clouds
276,Koungou,YT,-12.7336,45.2042,78.51,94,90,3.44,overcast clouds
277,Mweka,CD,-4.85,21.5667,70.74,98,100,1.59,light rain
278,Mahibadhoo,MV,3.7833,72.9667,80.78,82,45,15.82,scattered clouds
279,Port Macquarie,AU,-31.4333,152.9167,67.96,100,90,9.22,overcast clouds
280,Pokaran,IN,26.9167,71.9167,68.58,30,8,7.94,clear sky
281,Craig,US,40.5153,-107.5464,8.22,84,1,0.0,clear sky
282,Laguna,US,38.421,-121.4238,45.41,93,1,4.61,clear sky
283,Erzin,TR,36.9559,36.2,57.92,35,32,1.14,scattered clouds
284,Mecca,SA,21.4267,39.8261,69.69,47,6,10.67,clear sky
285,Yerbogachen,RU,61.2767,108.0108,-11.99,98,100,3.83,light snow
286,Ciudad Bolivar,VE,8.1222,-63.5497,87.24,37,24,9.93,few clouds
287,Aryanah,TN,36.8601,10.1934,60.67,67,20,2.3,few clouds
288,Acapulco,MX,16.8634,-99.8901,78.62,78,1,9.22,clear sky
289,Kostomuksha,RU,64.571,30.5767,0.81,96,100,4.76,overcast clouds
290,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,72,20,16.91,few clouds
291,Ust-Maya,RU,60.4167,134.5333,-35.25,100,100,1.5,overcast clouds
292,Gat,IL,31.61,34.7642,59.68,7,13,7.9,few clouds
293,Adrar,MR,20.5022,-10.0711,78.1,13,0,13.76,clear sky
294,Qaqortoq,GL,60.7167,-46.0333,45.1,79,100,14.0,light rain
295,Ambon,ID,-3.6954,128.1814,77.14,88,40,8.05,scattered clouds
296,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.88,62,56,10.0,broken clouds
297,Bara,NG,10.3744,10.7288,83.55,18,77,10.78,broken clouds
298,Dondo,MZ,-19.6094,34.7431,83.71,80,99,7.2,overcast clouds
299,Dunedin,NZ,-45.8742,170.5036,59.47,73,100,4.09,overcast clouds
300,Belaya Gora,RU,68.5333,146.4167,-22.0,99,100,3.47,light snow
