City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Chongwe,ZM,2021-12-28 15:19:55,-15.3292,28.682,76.33,62,76,11.7
176,Seoul,KR,2021-12-28 15:15:49,37.5683,126.9778,29.64,79,75,3.44
177,Henties Bay,NA,2021-12-28 15:19:56,-22.116,14.2845,69.85,73,21,15.23
178,Sao Filipe,CV,2021-12-28 15:19:57,14.8961,-24.4956,77.59,62,2,6.42
179,Shushtar,IR,2021-12-28 15:19:57,32.0455,48.8567,58.82,45,81,2.3
180,Omsukchan,RU,2021-12-28 15:19:58,62.5333,155.8,-23.3,98,100,9.13
181,Makakilo City,US,2021-12-28 15:19:58,21.3469,-158.0858,73.72,73,1,3.44
182,Kesan,TR,2021-12-28 15:20:58,40.8558,26.6303,57.09,76,100,15.73
183,Udala,ES,2021-12-28 15:20:59,43.0778,-2.5125,63.99,77,76,7.09
184,Coolidge,US,2021-12-28 15:18:00,32.9778,-111.5176,49.41,85,20,5.75
185,Marsa Matruh,EG,2021-12-28 15:20:59,31.3525,27.2453,61.92,41,53,8.25
186,Huarmey,PE,2021-12-28 15:21:00,-10.0681,-78.1522,71.38,79,100,8.19
187,Aklavik,CA,2021-12-28 15:21:00,68.2191,-135.0107,-12.28,99,94,1.14
188,Port Blair,IN,2021-12-28 15:21:00,11.6667,92.75,80.82,77,14,13.58
189,Methoni,GR,2021-12-28 15:21:01,36.8197,21.7049,57.22,85,100,4.97
190,Palana,RU,2021-12-28 15:21:01,59.1167,159.9667,2.91,97,100,14.63
191,Ponta Do Sol,PT,2021-12-28 15:13:06,32.6667,-17.1,72.01,81,59,6.49
192,Kenitra,MA,2021-12-28 15:21:02,34.261,-6.5802,65.16,70,70,8.79
193,Tolaga Bay,NZ,2021-12-28 15:21:02,-38.3667,178.3,65.1,88,100,5.97
194,Ahuimanu,US,2021-12-28 15:21:02,21.4447,-157.8378,74.91,73,90,5.01
195,Fort Morgan,US,2021-12-28 15:20:31,40.2503,-103.8,27.34,30,1,28.77
196,Tual,ID,2021-12-28 15:21:03,-5.6667,132.75,83.25,77,100,25.81
197,Pangai,TO,2021-12-28 15:21:03,-19.8,-174.35,80.17,74,56,4.97
198,Longyearbyen,SJ,2021-12-28 15:21:04,78.2186,15.6401,4.84,78,0,14.97
199,Hilo,US,2021-12-28 15:14:29,19.7297,-155.09,68.79,46,90,9.22
200,Roma,US,2021-12-28 15:21:04,43.2128,-75.4557,41.13,86,90,5.75
201,Warrington,GB,2021-12-28 15:21:05,53.3925,-2.5802,48.88,94,75,5.01
202,Saint-Philippe,RE,2021-12-28 15:13:08,-21.3585,55.7679,78.39,85,100,14.0
203,Murgab,TM,2021-12-28 15:21:05,37.4966,61.9714,46.27,49,40,6.91
204,Olafsvik,IS,2021-12-28 15:21:06,64.8945,-23.7142,25.52,66,81,16.33
205,Iranshahr,IR,2021-12-28 15:21:06,27.2025,60.6848,64.74,22,0,0.0
206,Poum,NC,2021-12-28 15:21:07,-20.2333,164.0167,81.12,77,94,3.42
207,Bosaso,SO,2021-12-28 15:21:07,11.2842,49.1816,76.28,68,63,8.37
208,Chernyshevskiy,RU,2021-12-28 15:21:08,63.0128,112.4714,-15.07,99,100,3.27
209,Qax,AZ,2021-12-28 15:21:08,41.4225,46.9242,34.79,61,62,5.41
210,Vestmanna,FO,2021-12-28 15:21:08,62.1564,-7.1664,40.12,93,75,11.5
211,Zahnitkiv,UA,2021-12-28 15:21:09,48.0446,28.8958,21.99,95,97,7.52
212,Butaritari,KI,2021-12-28 15:13:04,3.0707,172.7902,81.3,78,100,7.16
213,Visnes,NO,2021-12-28 15:21:09,59.3556,5.2242,38.82,64,40,5.75
214,Keti Bandar,PK,2021-12-28 15:21:10,24.1447,67.4497,71.65,42,0,12.86
215,Saint-Francois,FR,2021-12-28 15:21:10,46.4154,3.9054,53.47,73,90,16.11
